Name,Type,Background_Detailed,Background_Type,Hair_Detailed,Hair_Simple,Eyes_Detailed,Eyes_Simple,Headwear_Detailed,Headwear_Simple,Accessories,Training_Caption
lad_011_chocolate,Male,Pink #f2f1d4 to Orange #ff7162,pattern,"RGB(61,59,56) #3d3b38 and Orange #ff7162","RGB(61,59,56) and Orange","RGB(112,48,6) #703006","RGB(112,48,6)",White chef hat #FFFFFF,White chef hat,,"24x24 pixel art portrait, background: Pink #f2f1d4 to Orange #ff7162, hair: RGB(61,59,56) #3d3b38 and Orange #ff7162, eyes: RGB(112,48,6) #703006, wearing White chef hat #FFFFFF"
lad_012_chromium,Male,White #ebe6ea,solid,"Grey #656064 and RGB(84,79,85) #544f55","Grey and RGB(84,79,85)","RGB(30,53,88) #1e3558","RGB(30,53,88)",White chef hat #FFFFFF,White chef hat,,"24x24 pixel art portrait, background: White #ebe6ea, hair: Grey #656064 and RGB(84,79,85) #544f55, eyes: RGB(30,53,88) #1e3558, wearing White chef hat #FFFFFF"
lad_013_caramel,Male,"RGB(28,70,126) #1c467e to White #f3f3f3 to Red #ce4b26",pattern,"Black #030500 and RGB(28,70,126) #1c467e","Black and RGB(28,70,126)","RGB(165,144,91) #a5905b","RGB(165,144,91)",White chef hat #FFFFFF,White chef hat,,"24x24 pixel art portrait, background: RGB(28,70,126) #1c467e to White #f3f3f3 to Red #ce4b26, hair: Black #030500 and RGB(28,70,126) #1c467e, eyes: RGB(165,144,91) #a5905b, wearing White chef hat #FFFFFF"
lad_014_sugar,Male,Blue #0153fd,solid,"Blue #0153fd and RGB(77,58,54) #4d3a36","Blue and RGB(77,58,54)","RGB(75,102,134) #4b6686","RGB(75,102,134)",,,,"24x24 pixel art portrait, background: Blue #0153fd, hair: Blue #0153fd and RGB(77,58,54) #4d3a36, eyes: RGB(75,102,134) #4b6686"
lad_015_jackson,Male,"RGB(106,231,69) #6ae745",solid,"RGB(106,231,69) #6ae745 and RGB(167,167,155) #a7a79b","RGB(106,231,69) and RGB(167,167,155)",Grey #8f8f85,Grey,,,,"24x24 pixel art portrait, background: RGB(106,231,69) #6ae745, hair: RGB(106,231,69) #6ae745 and RGB(167,167,155) #a7a79b, eyes: Grey #8f8f85"
lad_016_tungsten,Male,"RGB(106,231,69) #6ae745",solid,"RGB(106,231,69) #6ae745 and RGB(197,200,183) #c5c8b7","RGB(106,231,69) and RGB(197,200,183)",Grey #6b6d62,Grey,,,,"24x24 pixel art portrait, background: RGB(106,231,69) #6ae745, hair: RGB(106,231,69) #6ae745 and RGB(197,200,183) #c5c8b7, eyes: Grey #6b6d62"
lad_017_ink,Male,"RGB(106,231,69) #6ae745",solid,"RGB(106,231,69) #6ae745 and Grey #7b8376","RGB(106,231,69) and Grey",Grey #60685b,Grey,,,,"24x24 pixel art portrait, background: RGB(106,231,69) #6ae745, hair: RGB(106,231,69) #6ae745 and Grey #7b8376, eyes: Grey #60685b"
lad_018_mandarin,Male,"RGB(194,225,158) #c2e19e",solid,"RGB(194,225,158) #c2e19e and Grey #565960","RGB(194,225,158) and Grey","RGB(166,130,117) #a68275","RGB(166,130,117)",,,,"24x24 pixel art portrait, background: RGB(194,225,158) #c2e19e, hair: RGB(194,225,158) #c2e19e and Grey #565960, eyes: RGB(166,130,117) #a68275"
lad_019_diamond,Male,"RGB(5,219,115) #05db73 to RGB(24,215,136) #18d788",pattern,"RGB(5,219,115) #05db73 and RGB(93,60,27) #5d3c1b","RGB(5,219,115) and RGB(93,60,27)","RGB(91,53,17) #5b3511","RGB(91,53,17)",,,,"24x24 pixel art portrait, background: RGB(5,219,115) #05db73 to RGB(24,215,136) #18d788, hair: RGB(5,219,115) #05db73 and RGB(93,60,27) #5d3c1b, eyes: RGB(91,53,17) #5b3511"
lad_020_gpu,Male,"RGB(147,172,146) #93ac92",solid,"RGB(147,172,146) #93ac92 and Beige #c49b69","RGB(147,172,146) and Beige","RGB(120,82,64) #785240","RGB(120,82,64)",,,,"24x24 pixel art portrait, background: RGB(147,172,146) #93ac92, hair: RGB(147,172,146) #93ac92 and Beige #c49b69, eyes: RGB(120,82,64) #785240"
lad_021_x,Male,Teal #94eb9d to Green #14c833,gradient,"RGB(31,48,64) #1f3040 and RGB(49,61,74) #313d4a","RGB(31,48,64) and RGB(49,61,74)","RGB(100,72,62) #64483e","RGB(100,72,62)",,,,"24x24 pixel art portrait, background: Teal #94eb9d to Green #14c833, hair: RGB(31,48,64) #1f3040 and RGB(49,61,74) #313d4a, eyes: RGB(100,72,62) #64483e"
lad_022_x,Male,Teal #94eb9d to Green #14c833,gradient,"RGB(217,142,102) #d98e66 and RGB(84,233,113) #54e971","RGB(217,142,102) and RGB(84,233,113)","RGB(104,67,56) #684338","RGB(104,67,56)",,,,"24x24 pixel art portrait, background: Teal #94eb9d to Green #14c833, hair: RGB(217,142,102) #d98e66 and RGB(84,233,113) #54e971, eyes: RGB(104,67,56) #684338"
lad_023_x-2,Male,Teal #3ffe9e to Teal #6ed7db,gradient,Green #47d35f and Teal #7aefbb,Green and Teal,"RGB(166,162,162) #a6a2a2","RGB(166,162,162)",,,,"24x24 pixel art portrait, background: Teal #3ffe9e to Teal #6ed7db, hair: Green #47d35f and Teal #7aefbb, eyes: RGB(166,162,162) #a6a2a2"
lad_023_x-3,Male,Teal #3ffe9e to Teal #6ed7db,gradient,Teal #7aefbb and Green #47d35f,Teal and Green,"RGB(166,162,162) #a6a2a2","RGB(166,162,162)",,,,"24x24 pixel art portrait, background: Teal #3ffe9e to Teal #6ed7db, hair: Teal #7aefbb and Green #47d35f, eyes: RGB(166,162,162) #a6a2a2"
lad_023_x-4,Male,Teal #3ffe9e to Teal #6ed7db,gradient,Green #47d35f and Teal #7aefbb,Green and Teal,"RGB(166,162,162) #a6a2a2","RGB(166,162,162)",,,,"24x24 pixel art portrait, background: Teal #3ffe9e to Teal #6ed7db, hair: Green #47d35f and Teal #7aefbb, eyes: RGB(166,162,162) #a6a2a2"
lad_023_x,Male,Teal #3ffe9e to Teal #6ed7db,gradient,Teal #6ed9c7 and Teal #7aefbb,Teal and Teal,"RGB(166,162,162) #a6a2a2","RGB(166,162,162)",,,,"24x24 pixel art portrait, background: Teal #3ffe9e to Teal #6ed7db, hair: Teal #6ed9c7 and Teal #7aefbb, eyes: RGB(166,162,162) #a6a2a2"
lad_024_x,Male,"RGB(34,7,150) #220796",solid,"RGB(34,7,150) #220796 and RGB(28,26,73) #1c1a49","RGB(34,7,150) and RGB(28,26,73)","RGB(58,25,54) #3a1936","RGB(58,25,54)",,,,"24x24 pixel art portrait, background: RGB(34,7,150) #220796, hair: RGB(34,7,150) #220796 and RGB(28,26,73) #1c1a49, eyes: RGB(58,25,54) #3a1936"
lad_025_x,Male,Lavender #c2bbcd,solid,"Lavender #c2bbcd and RGB(49,49,49) #313131","Lavender and RGB(49,49,49)",Burgundy #6b3e21,Burgundy,,,,"24x24 pixel art portrait, background: Lavender #c2bbcd, hair: Lavender #c2bbcd and RGB(49,49,49) #313131, eyes: Burgundy #6b3e21"
lad_026_chromiumabstractsalmon,Male,Teal #3ffe9e,solid,Teal #3ffe9e and Grey #656064,Teal and Grey,"RGB(30,53,88) #1e3558","RGB(30,53,88)",,,,"24x24 pixel art portrait, background: Teal #3ffe9e, hair: Teal #3ffe9e and Grey #656064, eyes: RGB(30,53,88) #1e3558"
lad_027_chromiumabstractyellow,Male,Teal #3ffe9e,solid,Teal #3ffe9e and Grey #656064,Teal and Grey,"RGB(30,53,88) #1e3558","RGB(30,53,88)",,,,"24x24 pixel art portrait, background: Teal #3ffe9e, hair: Teal #3ffe9e and Grey #656064, eyes: RGB(30,53,88) #1e3558"
lad_028_chromiumabstractgreen,Male,Teal #3ffe9e,solid,Teal #3ffe9e and Grey #656064,Teal and Grey,"RGB(30,53,88) #1e3558","RGB(30,53,88)",,,,"24x24 pixel art portrait, background: Teal #3ffe9e, hair: Teal #3ffe9e and Grey #656064, eyes: RGB(30,53,88) #1e3558"
lad_029_famous-9,Male,Blue #1831cf,solid,Blue #1831cf and Black #130c06,Blue and Black,Beige #9bd77f,Beige,,,,"24x24 pixel art portrait, background: Blue #1831cf, hair: Blue #1831cf and Black #130c06, eyes: Beige #9bd77f"
lad_029_famous4,Male,Beige #dfb065 to Beige #ead582,gradient,Black #130c06,Black,"RGB(108,88,63) #6c583f","RGB(108,88,63)",,,,"24x24 pixel art portrait, background: Beige #dfb065 to Beige #ead582, hair: Black #130c06, eyes: RGB(108,88,63) #6c583f"
lad_030_ink,Male,Grey #5e5c5f,solid,"Grey #5e5c5f and RGB(142,84,60) #8e543c","Grey and RGB(142,84,60)","RGB(142,84,60) #8e543c","RGB(142,84,60)",,,,"24x24 pixel art portrait, background: Grey #5e5c5f, hair: Grey #5e5c5f and RGB(142,84,60) #8e543c, eyes: RGB(142,84,60) #8e543c"
lad_031_fin,Male,"RGB(5,30,9) #051e09 to Green #35e151",gradient,"RGB(27,26,32) #1b1a20 and RGB(55,51,50) #373332","RGB(27,26,32) and RGB(55,51,50)","RGB(177,160,164) #b1a0a4","RGB(177,160,164)",,,,"24x24 pixel art portrait, background: RGB(5,30,9) #051e09 to Green #35e151, hair: RGB(27,26,32) #1b1a20 and RGB(55,51,50) #373332, eyes: RGB(177,160,164) #b1a0a4"
lad_032_shaman-4,Male,"RGB(152,152,152) #989898",solid,"RGB(152,152,152) #989898 and RGB(48,50,49) #303231","RGB(152,152,152) and RGB(48,50,49)","RGB(179,129,164) #b381a4","RGB(179,129,164)",,,,"24x24 pixel art portrait, background: RGB(152,152,152) #989898, hair: RGB(152,152,152) #989898 and RGB(48,50,49) #303231, eyes: RGB(179,129,164) #b381a4"
lad_033_molecule-2,Male,"RGB(184,177,169) #b8b1a9",solid,"RGB(184,177,169) #b8b1a9 and RGB(95,59,43) #5f3b2b","RGB(184,177,169) and RGB(95,59,43)","RGB(122,83,66) #7a5342","RGB(122,83,66)",,,,"24x24 pixel art portrait, background: RGB(184,177,169) #b8b1a9, hair: RGB(184,177,169) #b8b1a9 and RGB(95,59,43) #5f3b2b, eyes: RGB(122,83,66) #7a5342"
lad_035_JUAN,Male,"RGB(95,206,127) #5fce7f",solid,"RGB(95,206,127) #5fce7f and RGB(57,40,33) #392821","RGB(95,206,127) and RGB(57,40,33)","RGB(80,62,57) #503e39","RGB(80,62,57)",,,,"24x24 pixel art portrait, background: RGB(95,206,127) #5fce7f, hair: RGB(95,206,127) #5fce7f and RGB(57,40,33) #392821, eyes: RGB(80,62,57) #503e39"
lad_036_x,Male,"RGB(69,228,112) #45e470 to Teal #65e8b6",gradient,Teal #6be99f,Teal,"RGB(77,51,33) #4d3321","RGB(77,51,33)",,,,"24x24 pixel art portrait, background: RGB(69,228,112) #45e470 to Teal #65e8b6, hair: Teal #6be99f, eyes: RGB(77,51,33) #4d3321"
lad_037_aressprout,Male,"RGB(169,190,175) #a9beaf",solid,"RGB(169,190,175) #a9beaf and RGB(84,76,63) #544c3f","RGB(169,190,175) and RGB(84,76,63)","RGB(116,162,147) #74a293","RGB(116,162,147)",,,,"24x24 pixel art portrait, background: RGB(169,190,175) #a9beaf, hair: RGB(169,190,175) #a9beaf and RGB(84,76,63) #544c3f, eyes: RGB(116,162,147) #74a293"
lad_038_cashking-6,Male,Teal #8498a9,solid,Teal #8498a9 and Black #1a140b,Teal and Black,,,,,,"24x24 pixel art portrait, background: Teal #8498a9, hair: Teal #8498a9 and Black #1a140b"
lad_039_davinci-2,Male,"RGB(109,101,74) #6d654a",solid,"RGB(37,40,39) #252827 and Black #171915","RGB(37,40,39) and Black","RGB(66,92,94) #425c5e","RGB(66,92,94)",,,,"24x24 pixel art portrait, background: RGB(109,101,74) #6d654a, hair: RGB(37,40,39) #252827 and Black #171915, eyes: RGB(66,92,94) #425c5e"
lad_040_melzarmagic,Male,"RGB(151,119,90) #97775a",solid,"RGB(151,119,90) #97775a and RGB(50,36,24) #322418","RGB(151,119,90) and RGB(50,36,24)","RGB(110,71,57) #6e4739","RGB(110,71,57)",,,,"24x24 pixel art portrait, background: RGB(151,119,90) #97775a, hair: RGB(151,119,90) #97775a and RGB(50,36,24) #322418, eyes: RGB(110,71,57) #6e4739"
lad_041_Maradona,Male,"RGB(44,89,94) #2c595e to Green #0dbc5f",pattern,"RGB(44,89,94) #2c595e and Blue #0071f1","RGB(44,89,94) and Blue","RGB(90,56,17) #5a3811","RGB(90,56,17)",,,,"24x24 pixel art portrait, background: RGB(44,89,94) #2c595e to Green #0dbc5f, hair: RGB(44,89,94) #2c595e and Blue #0071f1, eyes: RGB(90,56,17) #5a3811"
lad_043_jeremey,Male,"RGB(179,179,181) #b3b3b5 to Teal #92a3bd",pattern,"Teal #92a3bd and RGB(173,190,206) #adbece","Teal and RGB(173,190,206)",Grey #525355,Grey,,,,"24x24 pixel art portrait, background: RGB(179,179,181) #b3b3b5 to Teal #92a3bd, hair: Teal #92a3bd and RGB(173,190,206) #adbece, eyes: Grey #525355"
lad_045_homewithkids3,Male,"RGB(149,76,78) #954c4e",solid,"RGB(149,76,78) #954c4e","RGB(149,76,78)","RGB(149,76,78) #954c4e","RGB(149,76,78)",,,,"24x24 pixel art portrait, background: RGB(149,76,78) #954c4e, hair: RGB(149,76,78) #954c4e, eyes: RGB(149,76,78) #954c4e"
lad_046_NATE,Male,"RGB(172,66,66) #ac4242",solid,"RGB(172,66,66) #ac4242 and RGB(10,32,46) #0a202e","RGB(172,66,66) and RGB(10,32,46)","RGB(172,66,66) #ac4242","RGB(172,66,66)",,,,"24x24 pixel art portrait, background: RGB(172,66,66) #ac4242, hair: RGB(172,66,66) #ac4242 and RGB(10,32,46) #0a202e, eyes: RGB(172,66,66) #ac4242"
lad_050_nate-2,Male,Grey #949087,solid,Grey #949087 and Beige #d4be66,Grey and Beige,"RGB(83,64,49) #534031","RGB(83,64,49)",,,,"24x24 pixel art portrait, background: Grey #949087, hair: Grey #949087 and Beige #d4be66, eyes: RGB(83,64,49) #534031"
lad_050_nate,Male,Grey #949087,solid,"Grey #949087 and RGB(59,41,29) #3b291d","Grey and RGB(59,41,29)","RGB(83,64,49) #534031","RGB(83,64,49)",,,,"24x24 pixel art portrait, background: Grey #949087, hair: Grey #949087 and RGB(59,41,29) #3b291d, eyes: RGB(83,64,49) #534031"
lad_051_DEVON-2,Male,"RGB(178,120,134) #b27886",solid,"RGB(178,120,134) #b27886 and RGB(35,14,9) #230e09","RGB(178,120,134) and RGB(35,14,9)",Grey #867755,Grey,,,,"24x24 pixel art portrait, background: RGB(178,120,134) #b27886, hair: RGB(178,120,134) #b27886 and RGB(35,14,9) #230e09, eyes: Grey #867755"
lad_051_DEVON-4,Male,"RGB(64,0,137) #400089",solid,"RGB(64,0,137) #400089 and RGB(133,49,177) #8531b1","RGB(64,0,137) and RGB(133,49,177)",Grey #867755,Grey,,,,"24x24 pixel art portrait, background: RGB(64,0,137) #400089, hair: RGB(64,0,137) #400089 and RGB(133,49,177) #8531b1, eyes: Grey #867755"
lad_054_sterling,Male,"RGB(162,162,162) #a2a2a2",solid,"RGB(162,162,162) #a2a2a2 and Grey #6f6358","RGB(162,162,162) and Grey",Teal #88b2c5,Teal,"RGB(162,162,162) #a2a2a2 and Grey #83735e crown",crown,,"24x24 pixel art portrait, background: RGB(162,162,162) #a2a2a2, hair: RGB(162,162,162) #a2a2a2 and Grey #6f6358, eyes: Teal #88b2c5, wearing RGB(162,162,162) #a2a2a2 and Grey #83735e crown"
lad_054_sterlingglasses,Male,"RGB(162,162,162) #a2a2a2",solid,"RGB(162,162,162) #a2a2a2 and Grey #6f6358","RGB(162,162,162) and Grey","RGB(72,65,57) #484139","RGB(72,65,57)","RGB(162,162,162) #a2a2a2 and Grey #83735e crown",crown,black glasses,"24x24 pixel art portrait, background: RGB(162,162,162) #a2a2a2, hair: RGB(162,162,162) #a2a2a2 and Grey #6f6358, eyes: RGB(72,65,57) #484139, wearing RGB(162,162,162) #a2a2a2 and Grey #83735e crown, accessories: black glasses"
lad_054_sterlingglasses3withcrown5,Male,"RGB(230,54,143) #e6368f",solid,Orange #d0ab5e and Beige #d6bc70,Orange and Beige,"RGB(104,0,0) #680000","RGB(104,0,0)","RGB(237,56,147) #ed3893 and Purple #e73599 crown",crown,glasses,"24x24 pixel art portrait, background: RGB(230,54,143) #e6368f, hair: Orange #d0ab5e and Beige #d6bc70, eyes: RGB(104,0,0) #680000, wearing RGB(237,56,147) #ed3893 and Purple #e73599 crown, accessories: glasses"
lad_055_Luke,Male,Teal #289ef4,solid,Teal #3ed2c3 and Teal #49e0b8,Teal and Teal,"RGB(87,118,77) #57764d","RGB(87,118,77)",,,,"24x24 pixel art portrait, background: Teal #289ef4, hair: Teal #3ed2c3 and Teal #49e0b8, eyes: RGB(87,118,77) #57764d"
lad_055_Luke10,Male,"RGB(32,203,119) #20cb77 to RGB(141,97,215) #8d61d7",gradient,Beige #ccb962 and Teal #7d88bf,Beige and Teal,"RGB(87,118,77) #57764d","RGB(87,118,77)",,,,"24x24 pixel art portrait, background: RGB(32,203,119) #20cb77 to RGB(141,97,215) #8d61d7, hair: Beige #ccb962 and Teal #7d88bf, eyes: RGB(87,118,77) #57764d"
lad_055_Luke3,Male,"RGB(155,108,222) #9b6cde to RGB(127,77,202) #7f4dca",pattern,"RGB(155,108,222) #9b6cde and RGB(45,45,45) #2d2d2d","RGB(155,108,222) and RGB(45,45,45)","RGB(52,52,52) #343434","RGB(52,52,52)",,,,"24x24 pixel art portrait, background: RGB(155,108,222) #9b6cde to RGB(127,77,202) #7f4dca, hair: RGB(155,108,222) #9b6cde and RGB(45,45,45) #2d2d2d, eyes: RGB(52,52,52) #343434"
lad_055_Luke6,Male,"Blue #066cc9 to RGB(91,232,134) #5be886",gradient,"RGB(137,89,211) #8959d3 and RGB(144,100,221) #9064dd","RGB(137,89,211) and RGB(144,100,221)","RGB(200,100,164) #c864a4","RGB(200,100,164)",,,,"24x24 pixel art portrait, background: Blue #066cc9 to RGB(91,232,134) #5be886, hair: RGB(137,89,211) #8959d3 and RGB(144,100,221) #9064dd, eyes: RGB(200,100,164) #c864a4"
lad_055_Luke8,Male,"RGB(32,203,119) #20cb77 to RGB(141,97,215) #8d61d7",gradient,Red #ec5b2c and Black #000609,Red and Black,"RGB(87,118,77) #57764d","RGB(87,118,77)",,,,"24x24 pixel art portrait, background: RGB(32,203,119) #20cb77 to RGB(141,97,215) #8d61d7, hair: Red #ec5b2c and Black #000609, eyes: RGB(87,118,77) #57764d"
lad_057_Hugh,Male,"RGB(58,60,59) #3a3c3b",solid,"RGB(58,60,59) #3a3c3b and RGB(102,80,56) #665038","RGB(58,60,59) and RGB(102,80,56)","RGB(72,71,43) #48472b","RGB(72,71,43)",,,,"24x24 pixel art portrait, background: RGB(58,60,59) #3a3c3b, hair: RGB(58,60,59) #3a3c3b and RGB(102,80,56) #665038, eyes: RGB(72,71,43) #48472b"
lad_057_Hugh5,Male,"Red #ce2b37 to RGB(0,146,70) #009246",gradient,"RGB(0,146,70) #009246 and Red #ce2b37","RGB(0,146,70) and Red","RGB(122,98,74) #7a624a","RGB(122,98,74)",,,,"24x24 pixel art portrait, background: Red #ce2b37 to RGB(0,146,70) #009246, hair: RGB(0,146,70) #009246 and Red #ce2b37, eyes: RGB(122,98,74) #7a624a"
lad_058_SAVVA,Male,Teal #809fb7,solid,Teal #809fb7 and Beige #c89884,Teal and Beige,Teal #809fb7,Teal,,,,"24x24 pixel art portrait, background: Teal #809fb7, hair: Teal #809fb7 and Beige #c89884, eyes: Teal #809fb7"
lad_059_SamAScientist,Male,Teal #72c2cb,solid,Teal #72c2cb and Grey #656064,Teal and Grey,"RGB(32,57,102) #203966","RGB(32,57,102)",,,,"24x24 pixel art portrait, background: Teal #72c2cb, hair: Teal #72c2cb and Grey #656064, eyes: RGB(32,57,102) #203966"
lad_060_bhaitradingbot2,Male,Grey #595860,solid,Grey #595860 and Black #151313,Grey and Black,"RGB(165,122,103) #a57a67","RGB(165,122,103)",,,,"24x24 pixel art portrait, background: Grey #595860, hair: Grey #595860 and Black #151313, eyes: RGB(165,122,103) #a57a67"
lad_061_DOPE7,Male,"RGB(72,115,85) #487355",solid,"RGB(72,115,85) #487355 and RGB(57,40,43) #39282b","RGB(72,115,85) and RGB(57,40,43)","RGB(72,115,85) #487355","RGB(72,115,85)",,,,"24x24 pixel art portrait, background: RGB(72,115,85) #487355, hair: RGB(72,115,85) #487355 and RGB(57,40,43) #39282b, eyes: RGB(72,115,85) #487355"
lad_062_devox2,Male,"RGB(125,71,71) #7d4747",solid,"RGB(125,71,71) #7d4747 and Black #151110","RGB(125,71,71) and Black","RGB(98,82,69) #625245","RGB(98,82,69)",,,,"24x24 pixel art portrait, background: RGB(125,71,71) #7d4747, hair: RGB(125,71,71) #7d4747 and Black #151110, eyes: RGB(98,82,69) #625245"
lad_063_kenichi,Male,Red #d53f31,solid,"RGB(54,30,20) #361e14 and Black #000000","RGB(54,30,20) and Black",Brown #c36f4d,Brown,,,,"24x24 pixel art portrait, background: Red #d53f31, hair: RGB(54,30,20) #361e14 and Black #000000, eyes: Brown #c36f4d"
lad_064_Scott,Male,Teal #90a3a9,solid,"Teal #90a3a9 and RGB(78,63,44) #4e3f2c","Teal and RGB(78,63,44)","RGB(83,52,38) #533426","RGB(83,52,38)",,,,"24x24 pixel art portrait, background: Teal #90a3a9, hair: Teal #90a3a9 and RGB(78,63,44) #4e3f2c, eyes: RGB(83,52,38) #533426"
lad_064_sensei,Male,White #e6e5e5,solid,Grey #5a5555,Grey,Grey #6b6363,Grey,White chef hat #FFFFFF,White chef hat,,"24x24 pixel art portrait, background: White #e6e5e5, hair: Grey #5a5555, eyes: Grey #6b6363, wearing White chef hat #FFFFFF"
lad_066_napoli2,Male,"RGB(165,31,22) #a51f16",solid,"RGB(165,31,22) #a51f16 and RGB(27,23,30) #1b171e","RGB(165,31,22) and RGB(27,23,30)","RGB(84,56,42) #54382a","RGB(84,56,42)",,,,"24x24 pixel art portrait, background: RGB(165,31,22) #a51f16, hair: RGB(165,31,22) #a51f16 and RGB(27,23,30) #1b171e, eyes: RGB(84,56,42) #54382a"
lad_068_mayor,Male,Teal #5678a9,solid,Teal #5678a9 and Black #000000,Teal and Black,Grey #88527c,Grey,,,,"24x24 pixel art portrait, background: Teal #5678a9, hair: Teal #5678a9 and Black #000000, eyes: Grey #88527c"
lad_070_IRAsBF2,Male,"RGB(176,196,195) #b0c4c3",solid,"RGB(176,196,195) #b0c4c3 and RGB(34,43,50) #222b32","RGB(176,196,195) and RGB(34,43,50)","RGB(176,196,195) #b0c4c3","RGB(176,196,195)",,,,"24x24 pixel art portrait, background: RGB(176,196,195) #b0c4c3, hair: RGB(176,196,195) #b0c4c3 and RGB(34,43,50) #222b32, eyes: RGB(176,196,195) #b0c4c3"
lad_075_mmhm,Male,Pink #e19dfa,solid,,,"RGB(58,96,85) #3a6055","RGB(58,96,85)",,,,"24x24 pixel art portrait, background: Pink #e19dfa, eyes: RGB(58,96,85) #3a6055"
lad_078_btoshi,Male,"RGB(165,165,167) #a5a5a7",solid,"Black #171516 and RGB(165,165,167) #a5a5a7","Black and RGB(165,165,167)","RGB(143,96,70) #8f6046","RGB(143,96,70)",,,,"24x24 pixel art portrait, background: RGB(165,165,167) #a5a5a7, hair: Black #171516 and RGB(165,165,167) #a5a5a7, eyes: RGB(143,96,70) #8f6046"
lad_079_ravish,Male,"RGB(194,188,166) #c2bca6 to Burgundy #b13830",pattern,"RGB(194,188,166) #c2bca6 and Burgundy #b13830","RGB(194,188,166) and Burgundy","RGB(164,123,103) #a47b67","RGB(164,123,103)",,,,"24x24 pixel art portrait, background: RGB(194,188,166) #c2bca6 to Burgundy #b13830, hair: RGB(194,188,166) #c2bca6 and Burgundy #b13830, eyes: RGB(164,123,103) #a47b67"
lad_080_fcpo,Male,Orange #dd9543,solid,"Orange #dd9543 and RGB(92,79,73) #5c4f49","Orange and RGB(92,79,73)","RGB(54,40,37) #362825","RGB(54,40,37)",,,,"24x24 pixel art portrait, background: Orange #dd9543, hair: Orange #dd9543 and RGB(92,79,73) #5c4f49, eyes: RGB(54,40,37) #362825"
